status,signal_time,entry_time,exit_time,spot_entry,option_type,qty,strike,expiry,gap_used,entry_price,exit_price,exit_reason,pnl,cum_pnl,date,month
CLOSED,2024-01-01 14:40:00,2024-01-01 14:40:00,2024-01-01 15:20:00,21817.3,PE,50,21700,2024-01-04 15:30:00,100,48.05,72.07499999999999,STOPLOSS,-1201.2499999999995,-1201.2499999999995,2024-01-01,2024-01
CLOSED,2024-01-01 14:10:00,2024-01-01 14:10:00,2024-01-01 15:21:00,21792.65,PE,50,21700,2024-01-04 15:30:00,100,50.3,75.44999999999999,STOPLOSS,-1257.4999999999995,-2458.749999999999,2024-01-01,2024-01
CLOSED,2024-01-01 13:45:00,2024-01-01 13:45:00,2024-01-02 09:57:00,21754.8,PE,50,21650,2024-01-04 15:30:00,100,53.25,79.875,STOPLOSS,-1331.25,-3789.999999999999,2024-01-02,2024-01
CLOSED,2024-01-01 09:50:00,2024-01-01 09:50:00,2024-01-02 10:36:00,21731.45,PE,50,21650,2024-01-04 15:30:00,100,75.2,112.80000000000001,STOPLOSS,-1880.0000000000005,-5670.0,2024-01-02,2024-01
CLOSED,2024-01-02 09:55:00,2024-01-02 09:55:00,2024-01-03 09:15:00,21636.8,CE,100,21750,2024-01-04 15:30:00,100,85.35,25.605,TARGET,5974.499999999999,304.4999999999991,2024-01-03,2024-01
CLOSED,2024-01-02 14:10:00,2024-01-02 14:10:00,2024-01-03 09:37:00,21662.35,PE,50,21550,2024-01-04 15:30:00,100,43.05,64.57499999999999,STOPLOSS,-1076.2499999999995,-771.7500000000005,2024-01-03,2024-01
CLOSED,2024-01-02 10:20:00,2024-01-02 10:20:00,2024-01-03 09:43:00,21626.0,CE,50,21750,2024-01-04 15:30:00,100,67.8,20.340000000000003,TARGET,2372.9999999999995,1601.249999999999,2024-01-03,2024-01
CLOSED,2024-01-02 10:25:00,2024-01-02 10:25:00,2024-01-03 10:51:00,21608.65,CE,50,21700,2024-01-04 15:30:00,100,77.55,23.265000000000004,TARGET,2714.25,4315.499999999999,2024-01-03,2024-01
CLOSED,2024-01-02 10:35:00,2024-01-02 10:35:00,2024-01-03 12:24:00,21568.6,CE,100,21650,2024-01-04 15:30:00,100,93.2,27.960000000000004,TARGET,6523.999999999999,10839.499999999998,2024-01-03,2024-01
CLOSED,2024-01-03 09:15:00,2024-01-03 09:15:00,2024-01-03 14:20:00,21617.05,CE,50,21700,2024-01-04 15:30:00,100,44.45,13.335000000000003,TARGET,1555.75,12395.249999999998,2024-01-03,2024-01
